"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GO","GOCC_RIBOSOMAL_SUBUNIT",5.00326313976331e-30,3.38820979824772e-26,1.42456271623384,0.712866478857025,2.8520801660118,178,"ENSG00000166902;ENSG00000102738;ENSG00000162910;ENSG00000125445;ENSG00000177954;ENSG00000181610;ENSG00000214026;ENSG00000062582;ENSG00000144029;ENSG00000143947;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000233927;ENSG00000143314;ENSG00000083845;ENSG00000171421;ENSG00000197958;ENSG00000142541;ENSG00000061794;ENSG00000175756;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000262814;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000105364;ENSG00000167862;ENSG00000213741;ENSG00000242485;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000172590;ENSG00000179271;ENSG00000111639;ENSG00000105193;ENSG00000114391;ENSG00000101278;ENSG00000183617;ENSG00000105640;ENSG00000168028;ENSG00000116221;ENSG00000259494;ENSG00000204316;ENSG00000197756;ENSG00000186468;ENSG00000137547;ENSG00000142676;ENSG00000161016;ENSG00000106591;ENSG00000166441;ENSG00000204822;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000169288;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000146223;ENSG00000198242;ENSG00000185608;ENSG00000198755;ENSG00000149806;ENSG00000163319;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000114686;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000130312;ENSG00000243927;ENSG00000074071;ENSG00000158042;ENSG00000182154;ENSG00000100316;ENSG00000174547;ENSG00000204628;ENSG00000182774;ENSG00000172172;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000090263;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000182180;ENSG00000171863;ENSG00000128626;ENSG00000181163;ENSG00000116898;ENSG00000142937;ENSG00000180992;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000132676;ENSG00000229117;ENSG00000162244;ENSG00000125901;ENSG00000071082;ENSG00000142534;ENSG00000278845;ENSG00000156482;ENSG00000148303;ENSG00000197345;ENSG00000135900;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000241343;ENSG00000112651;ENSG00000086504;ENSG00000147604;ENSG00000172586;ENSG00000147586;ENSG00000175110;ENSG00000136522;ENSG00000136897;ENSG00000243147;ENSG00000173141;ENSG00000159111;ENSG00000181991;ENSG00000198015;ENSG00000182899;ENSG00000161970;ENSG00000137154"
"GO","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",3.75080272699942e-28,1.270021803362e-24,1.38026491759359,0.709442032470591,2.81297090465126,164,"ENSG00000166902;ENSG00000102738;ENSG00000162910;ENSG00000163584;ENSG00000125445;ENSG00000177954;ENSG00000181610;ENSG00000214026;ENSG00000062582;ENSG00000144029;ENSG00000143947;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000233927;ENSG00000143314;ENSG00000083845;ENSG00000171421;ENSG00000197958;ENSG00000142541;ENSG00000061794;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000262814;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000105364;ENSG00000213741;ENSG00000242485;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000172590;ENSG00000179271;ENSG00000111639;ENSG00000105193;ENSG00000114391;ENSG00000101278;ENSG00000183617;ENSG00000105640;ENSG00000168028;ENSG00000116221;ENSG00000259494;ENSG00000197756;ENSG00000186468;ENSG00000137547;ENSG00000142676;ENSG00000161016;ENSG00000106591;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000169288;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000146223;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000163319;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000114686;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000130312;ENSG00000243927;ENSG00000074071;ENSG00000158042;ENSG00000182154;ENSG00000100316;ENSG00000174547;ENSG00000182774;ENSG00000172172;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000090263;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000182180;ENSG00000171863;ENSG00000128626;ENSG00000116898;ENSG00000142937;ENSG00000180992;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000132676;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000278845;ENSG00000156482;ENSG00000170315;ENSG00000148303;ENSG00000197345;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000241343;ENSG00000112651;ENSG00000086504"
"GO","GOBP_RIBOSOME_BIOGENESIS",1.71595370605788e-27,3.87347949914132e-24,1.3575740855908,0.587002495442179,2.50334107704429,330,"ENSG00000129347;ENSG00000188573;ENSG00000120800;ENSG00000133316;ENSG00000162851;ENSG00000116455;ENSG00000197498;ENSG00000130810;ENSG00000071462;ENSG00000108592;ENSG00000177954;ENSG00000178952;ENSG00000101546;ENSG00000143947;ENSG00000130826;ENSG00000278053;ENSG00000178105;ENSG00000278619;ENSG00000233927;ENSG00000138442;ENSG00000155393;ENSG00000227057;ENSG00000053372;ENSG00000083845;ENSG00000189306;ENSG00000124541;ENSG00000170889;ENSG00000112306;ENSG00000126749;ENSG00000178605;ENSG00000105732;ENSG00000261236;ENSG00000105372;ENSG00000073536;ENSG00000105373;ENSG00000100138;ENSG00000160214;ENSG00000112578;ENSG00000156990;ENSG00000148296;ENSG00000132591;ENSG00000136271;ENSG00000100029;ENSG00000048162;ENSG00000105671;ENSG00000145912;ENSG00000130713;ENSG00000109536;ENSG00000124784;ENSG00000105193;ENSG00000141456;ENSG00000114391;ENSG00000182810;ENSG00000101361;ENSG00000242372;ENSG00000123064;ENSG00000167721;ENSG00000138382;ENSG00000105447;ENSG00000168028;ENSG00000183751;ENSG00000179041;ENSG00000186468;ENSG00000141543;ENSG00000255561;ENSG00000070814;ENSG00000129460;ENSG00000142676;ENSG00000108561;ENSG00000111641;ENSG00000171824;ENSG00000114767;ENSG00000187051;ENSG00000241945;ENSG00000160256;ENSG00000147889;ENSG00000138326;ENSG00000104884;ENSG00000145425;ENSG00000156928;ENSG00000136045;ENSG00000118181;ENSG00000109534;ENSG00000111845;ENSG00000115268;ENSG00000165271;ENSG00000139842;ENSG00000146223;ENSG00000142684;ENSG00000149806;ENSG00000122034;ENSG00000184967;ENSG00000146909;ENSG00000107833;ENSG00000188846;ENSG00000110700;ENSG00000198034;ENSG00000198042;ENSG00000183520;ENSG00000162408;ENSG00000077348;ENSG00000164587;ENSG00000150990;ENSG00000136942;ENSG00000182117;ENSG00000198917;ENSG00000007376;ENSG00000275700;ENSG00000185163;ENSG00000120158;ENSG00000182774;ENSG00000135521;ENSG00000115946;ENSG00000117133;ENSG00000134419;ENSG00000198585;ENSG00000172809;ENSG00000007520;ENSG00000178896;ENSG00000171863;ENSG00000130305;ENSG00000158417;ENSG00000085231;ENSG00000086189;ENSG00000181163;ENSG00000115761;ENSG00000156697;ENSG00000273611;ENSG00000188739;ENSG00000142937;ENSG00000167272;ENSG00000065268;ENSG00000171806;ENSG00000131469;ENSG00000187531;ENSG00000172301;ENSG00000272047;ENSG00000079313;ENSG00000172336;ENSG00000175467;ENSG00000142534;ENSG00000198301;ENSG00000179409;ENSG00000108651;ENSG00000274523;ENSG00000165526;ENSG00000148303;ENSG00000171858;ENSG00000148300;ENSG00000188976;ENSG00000148824;ENSG00000182841;ENSG00000122406;ENSG00000171861;ENSG00000132153;ENSG00000176731;ENSG00000141076;ENSG00000117395;ENSG00000004779;ENSG00000124228;ENSG00000100865;ENSG00000134697;ENSG00000147604;ENSG00000165733;ENSG00000132382;ENSG00000150773;ENSG00000130935;ENSG00000067334;ENSG00000127804;ENSG00000075914;ENSG00000182583;ENSG00000124787;ENSG00000178718;ENSG00000087269;ENSG00000166133;ENSG00000011260;ENSG00000101181;ENSG00000122687;ENSG00000225921;ENSG00000169251;ENSG00000135372;ENSG00000182899;ENSG00000105793;ENSG00000001497;ENSG00000055044;ENSG00000161970;ENSG00000105202;ENSG00000140598;ENSG00000137154;ENSG00000130119;ENSG00000067533;ENSG00000156469;ENSG00000197223;ENSG00000104872;ENSG00000132341;ENSG00000125485;ENSG00000029639;ENSG00000173113;ENSG00000124383;ENSG00000173545"
"GO","GOBP_RRNA_METABOLIC_PROCESS",5.73282808338294e-26,9.70567794516732e-23,1.31888879607587,0.598161990375021,2.51636004613882,288,"ENSG00000155115;ENSG00000129347;ENSG00000188573;ENSG00000120800;ENSG00000133316;ENSG00000162851;ENSG00000116455;ENSG00000197498;ENSG00000130810;ENSG00000177700;ENSG00000071462;ENSG00000108592;ENSG00000177954;ENSG00000101546;ENSG00000130826;ENSG00000163882;ENSG00000278053;ENSG00000171453;ENSG00000178105;ENSG00000278619;ENSG00000233927;ENSG00000138442;ENSG00000227057;ENSG00000053372;ENSG00000189306;ENSG00000124541;ENSG00000126749;ENSG00000205045;ENSG00000261236;ENSG00000105372;ENSG00000105373;ENSG00000100138;ENSG00000160214;ENSG00000112578;ENSG00000156990;ENSG00000136271;ENSG00000100029;ENSG00000105671;ENSG00000145912;ENSG00000130713;ENSG00000109536;ENSG00000124784;ENSG00000105193;ENSG00000141456;ENSG00000101361;ENSG00000242372;ENSG00000100142;ENSG00000123064;ENSG00000167721;ENSG00000138382;ENSG00000183751;ENSG00000179041;ENSG00000141543;ENSG00000255561;ENSG00000070814;ENSG00000129460;ENSG00000142676;ENSG00000111641;ENSG00000171824;ENSG00000114767;ENSG00000241945;ENSG00000160256;ENSG00000148308;ENSG00000147889;ENSG00000138326;ENSG00000104884;ENSG00000136045;ENSG00000118181;ENSG00000127080;ENSG00000109534;ENSG00000111845;ENSG00000115268;ENSG00000165271;ENSG00000146223;ENSG00000122034;ENSG00000184967;ENSG00000107833;ENSG00000188846;ENSG00000198042;ENSG00000183520;ENSG00000162408;ENSG00000077348;ENSG00000164587;ENSG00000150990;ENSG00000136942;ENSG00000182117;ENSG00000198917;ENSG00000115053;ENSG00000007376;ENSG00000123144;ENSG00000275700;ENSG00000160570;ENSG00000185163;ENSG00000120158;ENSG00000105849;ENSG00000182774;ENSG00000115946;ENSG00000117133;ENSG00000198585;ENSG00000186868;ENSG00000007520;ENSG00000178896;ENSG00000155438;ENSG00000171863;ENSG00000130305;ENSG00000085231;ENSG00000086189;ENSG00000115761;ENSG00000156697;ENSG00000273611;ENSG00000188739;ENSG00000142937;ENSG00000167272;ENSG00000065268;ENSG00000171806;ENSG00000131469;ENSG00000187531;ENSG00000172301;ENSG00000272047;ENSG00000079313;ENSG00000172336;ENSG00000175467;ENSG00000099956;ENSG00000179409;ENSG00000108651;ENSG00000165526;ENSG00000148303;ENSG00000099817;ENSG00000171858;ENSG00000148300;ENSG00000182841;ENSG00000122406;ENSG00000171861;ENSG00000022840;ENSG00000214274;ENSG00000141076;ENSG00000117395;ENSG00000124228;ENSG00000115750;ENSG00000147604;ENSG00000013573;ENSG00000165733;ENSG00000150773;ENSG00000130935;ENSG00000067334;ENSG00000117877;ENSG00000127804;ENSG00000158796;ENSG00000075914;ENSG00000124787;ENSG00000066379;ENSG00000178718;ENSG00000087269;ENSG00000166133;ENSG00000011260;ENSG00000122687;ENSG00000225921;ENSG00000135372;ENSG00000182899;ENSG00000001497;ENSG00000055044;ENSG00000161970;ENSG00000105202;ENSG00000137154;ENSG00000147669;ENSG00000067533;ENSG00000197223;ENSG00000104872;ENSG00000029639;ENSG00000173113;ENSG00000124383"
"GO","GOBP_RRNA_PROCESSING",2.59230610182359e-24,3.51101938430987e-21,1.27903397725049,0.622896812979057,2.5660782266921,235,"ENSG00000129347;ENSG00000188573;ENSG00000120800;ENSG00000133316;ENSG00000162851;ENSG00000116455;ENSG00000197498;ENSG00000130810;ENSG00000071462;ENSG00000108592;ENSG00000177954;ENSG00000101546;ENSG00000130826;ENSG00000278053;ENSG00000178105;ENSG00000278619;ENSG00000233927;ENSG00000138442;ENSG00000227057;ENSG00000053372;ENSG00000189306;ENSG00000124541;ENSG00000126749;ENSG00000261236;ENSG00000105372;ENSG00000105373;ENSG00000100138;ENSG00000160214;ENSG00000112578;ENSG00000156990;ENSG00000136271;ENSG00000100029;ENSG00000105671;ENSG00000145912;ENSG00000130713;ENSG00000109536;ENSG00000124784;ENSG00000105193;ENSG00000141456;ENSG00000101361;ENSG00000242372;ENSG00000123064;ENSG00000167721;ENSG00000138382;ENSG00000183751;ENSG00000179041;ENSG00000141543;ENSG00000255561;ENSG00000129460;ENSG00000142676;ENSG00000111641;ENSG00000171824;ENSG00000114767;ENSG00000241945;ENSG00000160256;ENSG00000147889;ENSG00000138326;ENSG00000104884;ENSG00000136045;ENSG00000118181;ENSG00000109534;ENSG00000111845;ENSG00000115268;ENSG00000165271;ENSG00000146223;ENSG00000184967;ENSG00000107833;ENSG00000188846;ENSG00000198042;ENSG00000183520;ENSG00000162408;ENSG00000077348;ENSG00000164587;ENSG00000150990;ENSG00000136942;ENSG00000182117;ENSG00000198917;ENSG00000007376;ENSG00000275700;ENSG00000185163;ENSG00000120158;ENSG00000182774;ENSG00000115946;ENSG00000117133;ENSG00000198585;ENSG00000007520;ENSG00000178896;ENSG00000171863;ENSG00000130305;ENSG00000085231;ENSG00000086189;ENSG00000115761;ENSG00000156697;ENSG00000273611;ENSG00000188739;ENSG00000142937;ENSG00000167272;ENSG00000065268;ENSG00000171806;ENSG00000131469;ENSG00000187531;ENSG00000172301;ENSG00000272047;ENSG00000079313;ENSG00000172336;ENSG00000175467;ENSG00000179409;ENSG00000108651;ENSG00000165526;ENSG00000148303;ENSG00000171858;ENSG00000148300;ENSG00000182841;ENSG00000122406;ENSG00000171861;ENSG00000141076;ENSG00000117395;ENSG00000124228;ENSG00000147604;ENSG00000165733;ENSG00000150773;ENSG00000130935;ENSG00000067334;ENSG00000127804;ENSG00000075914;ENSG00000124787;ENSG00000178718;ENSG00000087269;ENSG00000166133;ENSG00000011260;ENSG00000122687;ENSG00000225921;ENSG00000135372;ENSG00000182899;ENSG00000001497;ENSG00000055044;ENSG00000161970;ENSG00000105202;ENSG00000137154;ENSG00000067533;ENSG00000197223;ENSG00000104872;ENSG00000029639;ENSG00000173113;ENSG00000124383"
"GO","GOCC_RIBOSOME",3.13115729483831e-23,3.53403286677417e-20,1.24623277191648,0.622283294641354,2.55478761480704,228,"ENSG00000145335;ENSG00000166902;ENSG00000102738;ENSG00000162910;ENSG00000163584;ENSG00000125445;ENSG00000177954;ENSG00000181610;ENSG00000214026;ENSG00000062582;ENSG00000144029;ENSG00000143947;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000233927;ENSG00000143314;ENSG00000083845;ENSG00000171421;ENSG00000197958;ENSG00000142541;ENSG00000061794;ENSG00000175756;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000262814;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000105364;ENSG00000167862;ENSG00000213741;ENSG00000089127;ENSG00000242485;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000172590;ENSG00000179271;ENSG00000111639;ENSG00000105193;ENSG00000114391;ENSG00000101278;ENSG00000100823;ENSG00000183617;ENSG00000105640;ENSG00000168028;ENSG00000116221;ENSG00000259494;ENSG00000204316;ENSG00000197756;ENSG00000186468;ENSG00000137547;ENSG00000142676;ENSG00000161016;ENSG00000106591;ENSG00000166441;ENSG00000204822;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000169288;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000146223;ENSG00000198242;ENSG00000185608;ENSG00000198755;ENSG00000149806;ENSG00000163319;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000114686;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000130312;ENSG00000243927;ENSG00000074071;ENSG00000158042;ENSG00000182154;ENSG00000100316;ENSG00000174547;ENSG00000092345;ENSG00000204628;ENSG00000182774;ENSG00000172172;ENSG00000089009;ENSG00000265681;ENSG00000100325;ENSG00000163682;ENSG00000169297;ENSG00000090263;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000182180;ENSG00000171863;ENSG00000128626;ENSG00000181163;ENSG00000116898;ENSG00000142937;ENSG00000180992;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000132676;ENSG00000229117;ENSG00000162244;ENSG00000125901;ENSG00000071082;ENSG00000142534;ENSG00000278845;ENSG00000156482;ENSG00000167962;ENSG00000170315;ENSG00000148303;ENSG00000197345;ENSG00000135900;ENSG00000114416;ENSG00000147403;ENSG00000171858;ENSG00000148824;ENSG00000122406;ENSG00000241343;ENSG00000022840;ENSG00000112651;ENSG00000086504;ENSG00000163481;ENSG00000147604;ENSG00000172586;ENSG00000147586;ENSG00000175110;ENSG00000136522;ENSG00000120742;ENSG00000136897;ENSG00000243147;ENSG00000101181;ENSG00000150991;ENSG00000173141;ENSG00000159111;ENSG00000181991"
"GO","GOCC_PRERIBOSOME",1.10572162151268e-19,1.0697066886977e-16,1.14219120216838,0.719651344381155,2.68251318935121,106,"ENSG00000129347;ENSG00000188573;ENSG00000120800;ENSG00000133316;ENSG00000130810;ENSG00000108592;ENSG00000177954;ENSG00000143947;ENSG00000233927;ENSG00000138442;ENSG00000227057;ENSG00000053372;ENSG00000083845;ENSG00000189306;ENSG00000124541;ENSG00000170889;ENSG00000112306;ENSG00000126749;ENSG00000261236;ENSG00000105372;ENSG00000100138;ENSG00000160214;ENSG00000112578;ENSG00000100029;ENSG00000124784;ENSG00000105193;ENSG00000101361;ENSG00000167721;ENSG00000183751;ENSG00000179041;ENSG00000186468;ENSG00000129460;ENSG00000171824;ENSG00000114767;ENSG00000187051;ENSG00000241945;ENSG00000160256;ENSG00000138326;ENSG00000145425;ENSG00000165271;ENSG00000184967;ENSG00000110700;ENSG00000198034;ENSG00000198042;ENSG00000183520;ENSG00000164587;ENSG00000150990;ENSG00000275700;ENSG00000120158;ENSG00000182774;ENSG00000135521;ENSG00000115946;ENSG00000117133;ENSG00000134419;ENSG00000171863;ENSG00000086189;ENSG00000115761;ENSG00000156697;ENSG00000142937;ENSG00000142534;ENSG00000108651;ENSG00000188976;ENSG00000182841;ENSG00000141076;ENSG00000117395;ENSG00000165733;ENSG00000130935;ENSG00000067334;ENSG00000087269;ENSG00000011260;ENSG00000225921;ENSG00000135372;ENSG00000055044;ENSG00000105202;ENSG00000137154;ENSG00000067533;ENSG00000124383;ENSG00000173545;ENSG00000136718;ENSG00000164346;ENSG00000102309"
"GO","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",2.63829889645118e-19,2.23332001584592e-16,1.13308993200902,0.715182413761601,2.69244401724646,113,"ENSG00000129347;ENSG00000120800;ENSG00000177954;ENSG00000101546;ENSG00000143947;ENSG00000278053;ENSG00000233927;ENSG00000227057;ENSG00000083845;ENSG00000189306;ENSG00000124541;ENSG00000170889;ENSG00000112306;ENSG00000126749;ENSG00000105372;ENSG00000100138;ENSG00000112578;ENSG00000148296;ENSG00000132591;ENSG00000124784;ENSG00000105193;ENSG00000101361;ENSG00000167721;ENSG00000168028;ENSG00000183751;ENSG00000179041;ENSG00000186468;ENSG00000129460;ENSG00000171824;ENSG00000114767;ENSG00000187051;ENSG00000241945;ENSG00000160256;ENSG00000138326;ENSG00000104884;ENSG00000145425;ENSG00000118181;ENSG00000115268;ENSG00000165271;ENSG00000149806;ENSG00000184967;ENSG00000146909;ENSG00000110700;ENSG00000198034;ENSG00000183520;ENSG00000164587;ENSG00000150990;ENSG00000275700;ENSG00000120158;ENSG00000182774;ENSG00000135521;ENSG00000115946;ENSG00000134419;ENSG00000007520;ENSG00000171863;ENSG00000085231;ENSG00000086189;ENSG00000181163;ENSG00000115761;ENSG00000156697;ENSG00000142937;ENSG00000272047;ENSG00000142534;ENSG00000108651;ENSG00000274523;ENSG00000171858;ENSG00000182841;ENSG00000141076;ENSG00000165733;ENSG00000130935;ENSG00000067334;ENSG00000124787;ENSG00000087269;ENSG00000011260;ENSG00000225921;ENSG00000135372;ENSG00000055044;ENSG00000105202;ENSG00000137154;ENSG00000029639;ENSG00000173113;ENSG00000124383"
"GO","GOCC_ENDOPLASMIC_RETICULUM_LUMEN",8.13794111103773e-19,6.12334857821639e-16,1.12391496374483,-0.55704175703116,-2.31233854825215,306,"ENSG00000254647;ENSG00000044574;ENSG00000155660;ENSG00000149428;ENSG00000166598;ENSG00000145050;ENSG00000102580;ENSG00000143870;ENSG00000090520;ENSG00000127022;ENSG00000179218;ENSG00000167004;ENSG00000136731;ENSG00000171812;ENSG00000166794;ENSG00000115414;ENSG00000023318;ENSG00000113273;ENSG00000164307;ENSG00000196739;ENSG00000128228;ENSG00000089597;ENSG00000084636;ENSG00000198363;ENSG00000135506;ENSG00000111186;ENSG00000071073;ENSG00000182871;ENSG00000079150;ENSG00000140284;ENSG00000132464;ENSG00000128590;ENSG00000197930;ENSG00000091136;ENSG00000090530;ENSG00000073756;ENSG00000038427;ENSG00000170558;ENSG00000169174;ENSG00000114270;ENSG00000128595;ENSG00000239264;ENSG00000115461;ENSG00000178031;ENSG00000114251;ENSG00000108219;ENSG00000134901;ENSG00000130175;ENSG00000049323;ENSG00000136378;ENSG00000185624;ENSG00000152291;ENSG00000186998;ENSG00000185010;ENSG00000170962;ENSG00000188517;ENSG00000082293;ENSG00000117385;ENSG00000166147;ENSG00000185615;ENSG00000154305;ENSG00000065485;ENSG00000186318;ENSG00000130203;ENSG00000072682;ENSG00000150687;ENSG00000163453;ENSG00000070404;ENSG00000116260;ENSG00000169436;ENSG00000087301;ENSG00000086619;ENSG00000142192;ENSG00000197461;ENSG00000158457;ENSG00000164308;ENSG00000178202;ENSG00000059377;ENSG00000115363;ENSG00000169031;ENSG00000081052;ENSG00000168785;ENSG00000198113;ENSG00000198832;ENSG00000173402;ENSG00000197565;ENSG00000187498"
"GO","GOCC_LARGE_RIBOSOMAL_SUBUNIT",1.32128313824486e-18,8.94772941219418e-16,1.11466447751729,0.709189138160288,2.65362495748208,109,"ENSG00000166902;ENSG00000162910;ENSG00000214026;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000143314;ENSG00000171421;ENSG00000197958;ENSG00000142541;ENSG00000137818;ENSG00000262814;ENSG00000108107;ENSG00000177600;ENSG00000130255;ENSG00000167526;ENSG00000105364;ENSG00000167862;ENSG00000242485;ENSG00000198918;ENSG00000174748;ENSG00000172590;ENSG00000179271;ENSG00000111639;ENSG00000114391;ENSG00000183617;ENSG00000105640;ENSG00000116221;ENSG00000259494;ENSG00000204316;ENSG00000197756;ENSG00000137547;ENSG00000142676;ENSG00000161016;ENSG00000106591;ENSG00000166441;ENSG00000204822;ENSG00000109475;ENSG00000169288;ENSG00000165502;ENSG00000122026;ENSG00000146223;ENSG00000198242;ENSG00000185608;ENSG00000198755;ENSG00000188846;ENSG00000174444;ENSG00000063177;ENSG00000114686;ENSG00000221983;ENSG00000108298;ENSG00000136942;ENSG00000130312;ENSG00000158042;ENSG00000182154;ENSG00000100316;ENSG00000174547;ENSG00000172172;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000172809;ENSG00000144713;ENSG00000181163;ENSG00000180992;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000278845;ENSG00000156482;ENSG00000148303;ENSG00000197345;ENSG00000135900;ENSG00000147403;ENSG00000122406;ENSG00000241343;ENSG00000112651;ENSG00000086504;ENSG00000147604;ENSG00000136522;ENSG00000136897;ENSG00000243147;ENSG00000173141;ENSG00000159111;ENSG00000198015;ENSG00000182899;ENSG00000161970"
